-7,-6,62
-6,-4,61
-4,-4,64
-3,-3,65
-5,-3,64
-5,1,66
-8,4,67
-9,5,65
-8,2,59
-8,-2,56
-1,-8,57
3,-10,59
5,-11,58
9,-10,65
5,-6,68
-2,-7,65
0,3,72
-3,7,72
-13,16,57
-1,19,57
3,18,62
5,10,59
12,5,64
14,1,63
9,-5,62
11,-3,65
11,3,68
5,6,60
6,9,61
3,10,56
4,10,54
4,12,56
5,20,59
8,19,53
23,10,54
36,-4,59
38,-10,60
37,-21,60
37,-24,58
40,-24,55
41,-23,57
39,-24,56
40,-29,52
40,-26,48
43,-26,49
44,-20,55
43,-14,59
36,-3,65
28,6,66
19,8,61
17,11,61
12,11,58
12,10,55
14,8,54
12,6,53
13,3,51
19,1,52
19,-1,53
22,-3,55
26,-4,58
28,-4,60
28,-6,60
28,-7,61
27,-8,60
29,-9,60
28,-9,60
28,-10,58
30,-11,57
32,-11,59
32,-13,54
33,-14,54
35,-10,58
32,-9,55
29,-9,54
27,-5,58
25,-5,57
23,-4,58
22,-2,59
21,-2,58
20,-2,57
23,-2,58
21,-3,57
23,-1,59
25,-2,59
22,-2,61
21,-3,61
21,-3,61
22,-3,60
19,-4,59
20,-4,58
20,-6,58
20,-7,58
20,-6,59
20,-4,59
19,-4,59
20,-3,60
19,-4,59
18,-4,58
17,-5,58
17,-4,58
17,-5,58
17,-5,57
16,-5,55
19,-3,61
19,-4,63
19,-6,61
23,-6,63
22,-6,63
19,-7,61
19,-5,62
20,-4,63
16,-6,60
12,-5,59
13,-2,62
11,0,61
9,0,59
8,0,60
8,1,60
5,0,59
1,-1,57
0,1,61
-2,1,60
0,0,59
1,0,61
0,0,60
2,0,62
2,0,62
2,1,62
1,2,60
2,-1,54
11,-1,60
16,1,69
17,2,80
3,0,61
1,-1,61
6,-1,64
10,0,63
10,0,61
